point_id,enterprise_id,controller_no,loop_no,point_no,device_type_code,device_type,location,protect_target,quality,raw_ref
pt-01-02-002,ent-005,1,2,2,2,点型感温,调漆间感温2,调漆间（气体灭火保护区）,ok,demo/points/pt-01-02-002
pt-01-02-003,ent-005,1,2,3,55,急启按钮,调漆间门口紧急启停按钮3,调漆间气体灭火,ok,demo/points/pt-01-02-003
pt-01-02-004,ent-005,1,2,4,37,气体启动,调漆间气体启动4,调漆间气体灭火,ok,demo/points/pt-01-02-004
pt-01-02-005,ent-005,1,2,5,29,压力开关,调漆间钢瓶压力开关5,调漆间气体灭火,ok,demo/points/pt-01-02-005
pt-01-02-006,ent-005,1,2,6,13,讯响器,调漆间区域讯响器6,调漆间气体灭火,ok,demo/points/pt-01-02-006
pt-01-02-007,ent-005,1,2,7,47,喷洒指示,调漆间喷洒指示灯7,调漆间气体灭火,ok,demo/points/pt-01-02-007
pt-02-01-001,ent-001,2,1,1,3,点型感烟,电池车间PACK线烟感1,PACK 产线一段,ok,demo/points/pt-02-01-001
pt-02-01-002,ent-001,2,1,2,3,点型感烟,电池车间PACK线烟感2,PACK 产线一段,ok,demo/points/pt-02-01-002
pt-02-01-003,ent-001,2,1,3,3,点型感烟,电池车间PACK线烟感3,PACK 产线二段,ok,demo/points/pt-02-01-003
pt-02-01-004,ent-001,2,1,4,3,点型感烟,电池车间PACK线烟感4,PACK 产线二段,ok,demo/points/pt-02-01-004
pt-02-01-005,ent-001,2,1,5,3,点型感烟,电池车间PACK线烟感5,PACK 半成品缓存区,ok,demo/points/pt-02-01-005
pt-02-01-006,ent-001,2,1,6,2,点型感温,电池车间化成区感温6,电芯化成区,ok,demo/points/pt-02-01-006
pt-02-01-007,ent-001,2,1,7,2,点型感温,电池车间化成区感温7,电芯化成区,ok,demo/points/pt-02-01-007
pt-02-01-008,ent-001,2,1,8,69,可燃气体,电池车间化成区可燃气体8,电芯化成区,ok,demo/points/pt-02-01-008
pt-02-01-009,ent-001,2,1,9,11,手动按钮,电池车间南门手报9,电池车间一层,ok,demo/points/pt-02-01-009
pt-02-01-010,ent-001,2,1,10,76,声光警报,电池车间南门声光10,电池车间一层,ok,demo/points/pt-02-01-010
pt-02-01-011,ent-001,2,1,11,22,防火阀,电池车间排风防火阀11,车间通风系统,ok,demo/points/pt-02-01-011
pt-02-02-001,ent-001,2,2,1,3,点型感烟,电池测试间烟感1,电池测试间（气体灭火保护区）,ok,demo/points/pt-02-02-001
pt-02-02-002,ent-001,2,2,2,2,点型感温,电池测试间感温2,电池测试间（气体灭火保护区）,ok,demo/points/pt-02-02-002
pt-02-02-003,ent-001,2,2,3,55,急启按钮,电池测试间紧急启停按钮3,电池测试间气体灭火,ok,demo/points/pt-02-02-003
pt-02-02-004,ent-001,2,2,4,37,气体启动,电池测试间气体启动4,电池测试间气体灭火,ok,demo/points/pt-02-02-004
pt-02-02-005,ent-001,2,2,5,29,压力开关,电池测试间钢瓶压力开关5,电池测试间气体灭火,ok,demo/points/pt-02-02-005
pt-03-01-001,ent-002,3,1,1,3,点型感烟,总装车间主线烟感1,总装主线,ok,demo/points/pt-03-01-001
pt-03-01-002,ent-002,3,1,2,3,点型感烟,总装车间主线烟感2,总装主线,ok,demo/points/pt-03-01-002
pt-03-01-003,ent-002,3,1,3,11,手动按钮,总装车间北门手报3,总装车间,ok,demo/points/pt-03-01-003
pt-03-01-004,ent-002,3,1,4,76,声光警报,总装车间北门声光4,总装车间,ok,demo/points/pt-03-01-004
pt-04-01-001,ent-003,4,1,1,9,吸气感烟,立体仓库吸气感烟1,高架货区,ok,demo/points/pt-04-01-001
pt-04-01-002,ent-003,4,1,2,9,吸气感烟,立体仓库吸气感烟2,高架货区,ok,demo/points/pt-04-01-002
pt-04-01-003,ent-003,4,1,3,11,手动按钮,立体仓库入口手报3,立体仓库,ok,demo/points/pt-04-01-003
pt-05-01-001,ent-004,5,1,1,3,点型感烟,冲压车间烟感1,冲压线,stale,demo/points/pt-05-01-001
pt-05-01-002,ent-004,5,1,2,3,点型感烟,冲压车间烟感2,冲压线,stale,demo/points/pt-05-01-002
